EOS,EOS,EOS,未定義語,アルファベット,*,*
 ,<SPACE>,<SPACE>,未定義語,その他,*,*
M,M,M,未定義語,アルファベット,*,*
6,ろく,6,名詞,数詞,*,*
 ,<SPACE>,<SPACE>,未定義語,その他,*,*
MARK,MARK,MARK,未定義語,アルファベット,*,*
2,に,2,名詞,数詞,*,*
を,を,を,助詞,格助詞,*,*
使用,しよう,使用,名詞,サ変名詞,*,*
して,して,する,動詞,*,サ変動詞,タ系連用テ形
い,い,いる,接尾辞,動詞性接尾辞,母音動詞,基本連用形
ました,ました,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,タ形
が,が,が,助詞,接続助詞,*,*
EVF,EVF,EVF,未定義語,アルファベット,*,*
が,が,が,助詞,格助詞,*,*
欲しく,ほしく,欲しい,形容詞,*,イ形容詞イ段,基本連用形
なって,なって,なる,接尾辞,動詞性接尾辞,子音動詞ラ行,タ系連用テ形
購入,こうにゅう,購入,名詞,サ変名詞,*,*
して,して,する,動詞,*,サ変動詞,タ系連用テ形
い,い,いる,接尾辞,動詞性接尾辞,母音動詞,基本連用形
ます,ます,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,基本形
。,。,。,特殊,句点,*,*
その,その,その,指示詞,連体詞形態指示詞,*,*
EVF,EVF,EVF,未定義語,アルファベット,*,*
です,です,だ,判定詞,*,判定詞,デス列基本形
が,が,が,助詞,接続助詞,*,*
液晶,えきしょう,液晶,名詞,普通名詞,*,*
より,より,より,助詞,格助詞,*,*
も,も,も,助詞,副助詞,*,*
色,いろ,色,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
ド,ド,ド,未定義語,カタカナ,*,*
派手で,はでで,派手だ,形容詞,*,ナ形容詞,ダ列タ系連用テ形
ドド,ドド,ドド,未定義語,カタカナ,*,*
ビビッドな,びびっどな,ビビッドだ,形容詞,*,ナ形容詞,ダ列基本連体形
色,いろ,色,名詞,普通名詞,*,*
味,あじ,味,名詞,普通名詞,*,*
です,です,だ,判定詞,*,判定詞,デス列基本形
。,。,。,特殊,句点,*,*
これ,これ,これ,指示詞,名詞形態指示詞,*,*
は,は,は,助詞,副助詞,*,*
EVF,EVF,EVF,未定義語,アルファベット,*,*
-,-,-,未定義語,その他,*,*
DC,DC,DC,未定義語,アルファベット,*,*
2,に,2,名詞,数詞,*,*
でも,でも,でも,助詞,副助詞,*,*
同じ,おなじ,同じだ,形容詞,*,ナ形容詞特殊,ダ列特殊連体形
傾向,けいこう,傾向,名詞,普通名詞,*,*
で,で,で,助詞,格助詞,*,*
もう,もう,もう,副詞,*,*,*
ちょっと,ちょっと,ちょっと,副詞,*,*,*
頑張って,がんばって,頑張る,動詞,*,子音動詞ラ行,タ系連用テ形
欲しい,ほしい,欲しい,形容詞,*,イ形容詞イ段,基本形
です,です,です,助動詞,*,無活用型,基本形
。,。,。,特殊,句点,*,*
私,わたし,私,名詞,普通名詞,*,*
の,の,の,助詞,接続助詞,*,*
用途,ようと,用途,名詞,普通名詞,*,*
で,で,で,助詞,格助詞,*,*
は,は,は,助詞,副助詞,*,*
M,M,M,未定義語,アルファベット,*,*
6,ろく,6,名詞,数詞,*,*
MK,MK,MK,未定義語,アルファベット,*,*
2,に,2,名詞,数詞,*,*
と,と,と,助詞,格助詞,*,*
の,の,の,助詞,接続助詞,*,*
ダイヤル,だいやる,ダイヤル,名詞,サ変名詞,*,*
数,すう,数,接尾辞,名詞性名詞接尾辞,*,*
の,の,の,助詞,格助詞,*,*
違い,ちがい,違う,動詞,*,子音動詞ワ行,基本連用形
に,に,に,助詞,格助詞,*,*
よる,よる,よる,動詞,*,子音動詞ラ行,基本形
操作,そうさ,操作,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
の,の,の,助詞,格助詞,*,*
違い,ちがい,違う,動詞,*,子音動詞ワ行,基本連用形
は,は,は,助詞,副助詞,*,*
ほとんど,ほとんど,ほとんど,副詞,*,*,*
影響,えいきょう,影響,名詞,サ変名詞,*,*
あり,あり,ある,動詞,*,子音動詞ラ行,基本連用形
ませ,ませ,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,未然形
ん,ん,ぬ,助動詞,*,助動詞ぬ型,音便基本形
でした,でした,だ,判定詞,*,判定詞,デス列タ形
。,。,。,特殊,句点,*,*
HDR,HDR,HDR,未定義語,アルファベット,*,*
が,が,が,助詞,格助詞,*,*
搭載,とうさい,搭載,名詞,サ変名詞,*,*
さ,さ,する,動詞,*,サ変動詞,未然形
れて,れて,れる,接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形
い,い,いる,接尾辞,動詞性接尾辞,母音動詞,基本連用形
ませ,ませ,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,未然形
ん,ん,ぬ,助動詞,*,助動詞ぬ型,音便基本形
が,が,が,助詞,接続助詞,*,*
逆,ぎゃく,逆だ,形容詞,*,ナノ形容詞,語幹
光,ひかり,光,名詞,普通名詞,*,*
補正,ほせい,補正,名詞,サ変名詞,*,*
HDR,HDR,HDR,未定義語,アルファベット,*,*
モード,もーど,モード,名詞,普通名詞,*,*
で,で,で,助詞,格助詞,*,*
代用,だいよう,代用,名詞,サ変名詞,*,*
でき,でき,できる,動詞,*,母音動詞,基本連用形
ます,ます,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,基本形
。,。,。,特殊,句点,*,*
レンズ,れんず,レンズ,名詞,普通名詞,*,*
は,は,は,助詞,副助詞,*,*
EF,EF,EF,未定義語,アルファベット,*,*
-,-,-,未定義語,その他,*,*
M,M,M,未定義語,アルファベット,*,*
 ,<SPACE>,<SPACE>,未定義語,その他,*,*
32,32,32,名詞,数詞,*,*
mmF,mmF,mmF,未定義語,アルファベット,*,*
1,いち,1,名詞,数詞,*,*
.,.,.,未定義語,その他,*,*
4,よん,4,名詞,数詞,*,*
と,と,と,助詞,格助詞,*,*
シグマ,シグマ,シグマ,未定義語,カタカナ,*,*
56,56,56,名詞,数詞,*,*
㎜,㎜,㎜,未定義語,その他,*,*
F,F,F,未定義語,アルファベット,*,*
1,いち,1,名詞,数詞,*,*
.,.,.,未定義語,その他,*,*
4,よん,4,名詞,数詞,*,*
しか,しか,しか,助詞,副助詞,*,*
使用,しよう,使用,名詞,サ変名詞,*,*
して,して,する,動詞,*,サ変動詞,タ系連用テ形
い,い,いる,接尾辞,動詞性接尾辞,母音動詞,基本連用形
ませ,ませ,ます,接尾辞,動詞性接尾辞,動詞性接尾辞ます型,未然形
ん,ん,ぬ,助動詞,*,助動詞ぬ型,音便基本形
