キヤノン,きやのん,キヤノン,名詞,組織名,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
キヤノン,きやのん,キヤノン,名詞,組織名,*,*
らしく,らしく,らしい,助動詞,*,イ形容詞イ段,基本連用形
ない,ない,ない,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
ニコン,にこん,ニコン,名詞,組織名,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
フジ,ふじ,フジ,名詞,普通名詞,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
ソニー,そにー,ソニー,名詞,組織名,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
パナソニック,ぱなそにっく,パナソニック,名詞,組織名,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
LUMIX,LUMIX,LUMIX,未定義語,アルファベット,*,*
らしい,らしい,らしい,助動詞,*,イ形容詞イ段,基本形
手,て,手,名詞,普通名詞,*,*
に,に,に,助詞,格助詞,*,*
なじむ,なじむ,なじむ,動詞,*,子音動詞マ行,基本形
な,な,な,名詞,普通名詞,*,*
じめ,じめ,しめる,動詞,*,母音動詞,未然形
ない,ない,ない,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
直感,ちょっかん,直感,名詞,サ変名詞,*,*
的,てき,的,接尾辞,名詞性名詞接尾辞,*,*
複雑な,ふくざつな,複雑だ,形容詞,*,ナ形容詞,ダ列基本連体形
操作,そうさ,操作,名詞,サ変名詞,*,*
ひと,ひと,ひと,名詞,数詞,*,*
手間,てま,手間,名詞,普通名詞,*,*
軽量,けいりょう,軽量,名詞,普通名詞,*,*
重い,おもい,重い,形容詞,*,イ形容詞アウオ段,基本形
小さい,ちいさい,小さい,形容詞,*,イ形容詞アウオ段,基本形
大きい,おおきい,大きい,形容詞,*,イ形容詞イ段特殊,基本形
使い,つかい,使う,動詞,*,子音動詞ワ行,基本連用形
やすい,やすい,やすい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
使い,つかい,使う,動詞,*,子音動詞ワ行,基本連用形
づらい,づらい,づらい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
握り,にぎり,握る,動詞,*,子音動詞ラ行,基本連用形
やすい,やすい,やすい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
持ち,もち,持つ,動詞,*,子音動詞タ行,基本連用形
づらい,づらい,づらい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
滑り,すべり,滑る,動詞,*,子音動詞ラ行,基本連用形
にくい,にくい,にくい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
滑り,すべり,滑る,動詞,*,子音動詞ラ行,基本連用形
やすい,やすい,やすい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
落とし,おとし,落とす,動詞,*,子音動詞サ行,基本連用形
