携帯,けいたい,携帯,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
が,が,が,助詞,格助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
持ち,もち,持つ,動詞,*,子音動詞タ行,基本連用形
運び,はこび,運ぶ,動詞,*,子音動詞バ行,基本連用形
やすい,やすい,やすい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
携帯,けいたい,携帯,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
は,は,は,助詞,副助詞,*,*
悪い,わるい,悪い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
操作,そうさ,操作,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
が,が,が,助詞,格助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
操作,そうさ,操作,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
が,が,が,助詞,格助詞,*,*
悪い,わるい,悪い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
操作,そうさ,操作,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
の,の,の,助詞,格助詞,*,*
物足りな,ものたりな,物足りない,形容詞,*,イ形容詞アウオ段,語幹
さ,さ,さ,接尾辞,名詞性述語接尾辞,*,*
",",",",",",未定義語,その他,*,*
手,て,手,名詞,普通名詞,*,*
ぶれ,ぶれ,ぶれる,動詞,*,母音動詞,基本連用形
補正,ほせい,補正,名詞,サ変名詞,*,*
が,が,が,助詞,格助詞,*,*
ある,ある,ある,動詞,*,子音動詞ラ行,基本形
",",",",",",未定義語,その他,*,*
手,て,手,名詞,普通名詞,*,*
振れ,ふれ,振れる,動詞,*,母音動詞,基本連用形
機能,きのう,機能,名詞,サ変名詞,*,*
は,は,は,助詞,副助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
手,て,手,名詞,普通名詞,*,*
ぶれ,ぶれ,ぶれる,動詞,*,母音動詞,基本連用形
補正,ほせい,補正,名詞,サ変名詞,*,*
が,が,が,助詞,格助詞,*,*
強力,きょうりょく,強力だ,形容詞,*,ナ形容詞,語幹
",",",",",",未定義語,その他,*,*
手,て,手,名詞,普通名詞,*,*
ぶれ,ぶれ,ぶれる,動詞,*,母音動詞,基本連用形
補正,ほせい,補正,名詞,サ変名詞,*,*
が,が,が,助詞,格助詞,*,*
ない,ない,ない,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
手,て,手,名詞,普通名詞,*,*
ぶれ,ぶれ,ぶれる,動詞,*,母音動詞,基本連用形
補正,ほせい,補正,名詞,サ変名詞,*,*
が,が,が,助詞,格助詞,*,*
弱い,よわい,弱い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ブレ,ブレ,ブレ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
無く,なく,無い,形容詞,*,イ形容詞アウオ段,基本連用形
 ,<SPACE>,<SPACE>,未定義語,その他,*,*
",",",",",",未定義語,その他,*,*
ブレ,ブレ,ブレ,未定義語,カタカナ,*,*
やすい,やすい,やすい,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ホールド,ホールド,ホールド,未定義語,カタカナ,*,*
感,かん,感,名詞,普通名詞,*,*
は,は,は,助詞,副助詞,*,*
いい,いい,いい,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ホールド,ホールド,ホールド,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
悪い,わるい,悪い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ホールド,ホールド,ホールド,未定義語,カタカナ,*,*
感,かん,感,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
ない,ない,ない,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
グリップ,グリップ,グリップ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
グリップ,グリップ,グリップ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
深い,ふかい,深い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
グリップ,グリップ,グリップ,未定義語,カタカナ,*,*
感,かん,感,名詞,普通名詞,*,*
は,は,は,助詞,副助詞,*,*
悪い,わるい,悪い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
グリップ,グリップ,グリップ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
大き,おおき,大きい,形容詞,*,イ形容詞イ段特殊,語幹
すぎ,すぎ,すぎる,接尾辞,動詞性接尾辞,母音動詞,基本連用形
",",",",",",未定義語,その他,*,*
グリップ,グリップ,グリップ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
ない,ない,ない,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ノイズ,ノイズ,ノイズ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
少ない,すくない,少ない,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
ノイズ,ノイズ,ノイズ,未定義語,カタカナ,*,*
感,かん,感,名詞,普通名詞,*,*
は,は,は,助詞,副助詞,*,*
あり,あり,ある,動詞,*,子音動詞ラ行,基本連用形
",",",",",",未定義語,その他,*,*
違和感,いわかん,違和感,名詞,普通名詞,*,*
なし,なし,なし,接尾辞,名詞性名詞接尾辞,*,*
",",",",",",未定義語,その他,*,*
違和感,いわかん,違和感,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
少ない,すくない,少ない,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
違和感,いわかん,違和感,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
ある,ある,ある,動詞,*,子音動詞ラ行,基本形
",",",",",",未定義語,その他,*,*
使い,つかい,使う,動詞,*,子音動詞ワ行,基本連用形
勝手,かって,勝手だ,形容詞,*,ナ形容詞,語幹
が,が,が,助詞,格助詞,*,*
いい,いい,いい,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
使い,つかい,使う,動詞,*,子音動詞ワ行,基本連用形
勝手,かって,勝手だ,形容詞,*,ナ形容詞,語幹
が,が,が,助詞,格助詞,*,*
悪い,わるい,悪い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
追従,ついじゅう,追従,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
が,が,が,助詞,格助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
追従,ついじゅう,追従,名詞,サ変名詞,*,*
性,せい,性,接尾辞,名詞性名詞接尾辞,*,*
は,は,は,助詞,副助詞,*,*
悪く,わるく,悪い,形容詞,*,イ形容詞アウオ段,基本連用形
",",",",",",未定義語,その他,*,*
AF,AF,AF,未定義語,アルファベット,*,*
は,は,は,助詞,副助詞,*,*
速い,はやい,速い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
AF,AF,AF,未定義語,アルファベット,*,*
性能,せいのう,性能,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
高く,たかく,高い,形容詞,*,イ形容詞アウオ段,基本連用形
",",",",",",未定義語,その他,*,*
AF,AF,AF,未定義語,アルファベット,*,*
精度,せいど,精度,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
弱い,よわい,弱い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
AF,AF,AF,未定義語,アルファベット,*,*
が,が,が,助詞,格助詞,*,*
速く,はやく,速い,形容詞,*,イ形容詞アウオ段,基本連用形
ない,ない,ない,接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
瞳,ひとみ,瞳,名詞,普通名詞,*,*
AF,AF,AF,未定義語,アルファベット,*,*
が,が,が,助詞,格助詞,*,*
楽,がく,楽,名詞,普通名詞,*,*
",",",",",",未定義語,その他,*,*
瞳,ひとみ,瞳,名詞,普通名詞,*,*
AF,AF,AF,未定義語,アルファベット,*,*
が,が,が,助詞,格助詞,*,*
良好,りょうこう,良好だ,形容詞,*,ナ形容詞,語幹
",",",",",",未定義語,その他,*,*
瞳,ひとみ,瞳,名詞,普通名詞,*,*
AF,AF,AF,未定義語,アルファベット,*,*
素晴らしい,すばらしい,素晴らしい,形容詞,*,イ形容詞イ段,基本形
",",",",",",未定義語,その他,*,*
持ち,もち,持つ,動詞,*,子音動詞タ行,基本連用形
が,が,が,助詞,格助詞,*,*
良い,よい,良い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
減り,へり,減る,動詞,*,子音動詞ラ行,基本連用形
が,が,が,助詞,格助詞,*,*
早い,はやい,早い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
値段,ねだん,値段,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
低い,ひくい,低い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
コスパ,コスパ,コスパ,未定義語,カタカナ,*,*
が,が,が,助詞,格助詞,*,*
いい,いい,いい,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
値段,ねだん,値段,名詞,普通名詞,*,*
が,が,が,助詞,格助詞,*,*
高い,たかい,高い,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
反応,はんのう,反応,名詞,サ変名詞,*,*
が,が,が,助詞,格助詞,*,*
いい,いい,いい,形容詞,*,イ形容詞アウオ段,基本形
",",",",",",未定義語,その他,*,*
タイムラグ,タイムラグ,タイムラグ,未定義語,カタカナ,*,*
