携帯性が良い,携帯性が良い,携帯性が良く,携帯性はいい,携帯性は良い,携帯性は良かった,携帯性もいい,携帯性に優れ,携帯性も優れ,携帯性抜群,携帯性は抜群,携帯性はバツグン,携帯性は高い,携帯性は充分,携帯性は悪くない,携帯性はピカイチ,携帯しやすい,,,,,,,,
持ち運びやすい,持ち運びやすい,持ち運び易い,持ち運びしやすい,持ち運びのしやすさ,持ち運びが楽,持ち歩きやすい,,,,,,,,,,,,,,,,,,
携帯性は悪い,携帯性は悪い,携帯性は悪く,携帯性はイマイチ,携帯性が落ちる,携帯性が難あり,,,,,,,,,,,,,,,,,,,
操作性が良い,操作性が良い,操作性が良く,操作性はいい,操作性も良い,操作性もいい,操作が容易,操作は容易,操作しやすい,操作はしやすい,操作しやすく,操作し易い,操作はし易い,操作性の向上,操作性は抜群,操作感が好き,簡単に操作できる,簡単に操作でき,,,,,,,
操作性が悪い,操作性が悪い,操作性が悪く,操作性も悪く,操作しにくい,操作がしにくい,操作系は最悪,操作性が駄目,操作性はイマイチ,,,,,,,,,,,,,,,,
操作性の物足りなさ,操作性の物足りなさ,,,,,,,,,,,,,,,,,,,,,,,
手ぶれ補正がある,手ぶれ補正がある,手振れ補正がある,手振れ補正もある,手振れ補正あり,手振れ補正もあり,手振れ補正が搭載,手ぶれ補正も付いている,手振れ補正内蔵,手振れ補正,手ブレ補正,高性能な手ブレ防止,,,,,,,,,,,,,
手振れ機能は良い,手振れ機能は良い,手振れ補正が素晴らしい,手ぶれ補正は素晴らしい,,,,,,,,,,,,,,,,,,,,,
手ぶれ補正が強力,手ぶれ補正が強力,手ブレ補正が強力,手ブレ補正が強化,手振れ補正が強力,手ぶれ補正がきき,手ぶれ補正が効き,手ぶれ補正は効いて,手ブレ補正は効いて,手ブレ補正も効いて,手振れ補正は効いて,手ぶれ補正が効く,,,,,,,,,,,,,
手ぶれ補正がない,手ぶれ補正がない,手ブレ補正がない,手ブレ補正のない,手振れ補正がない,手振れ補正はない,手振れ補正が無い,手振れ補正は無い,手ぶれ補正が付いていない,手ブレ補正が未搭載,手振れ補正はありません,手振れ補正機能無し,手振れ補正が欲しい,手振れ補正は欲しかった,ぶれ補正がついていません,,,,,,,,,,
手ぶれ補正が弱い,手ぶれ補正が弱い,手振れ補正が悪い,手ぶれ補正がイマイチ,手ぶれ補正はきかない,,,,,,,,,,,,,,,,,,,,
ブレが無く ,ブレが無く,振れがない,,,,,,,,,,,,,,,,,,,,,,
ブレやすい,ブレやすい,ブレが激しい,ぶれが生じる,手ブレしやすく,手ブレはしやすい,手振れしやすい,,,,,,,,,,,,,,,,,,
ホールド感はいい,ホールド感はいい,ホールド感は良い,ホールド感はよく,ホールド感もよく,ホールドが良く,ホールディングが良い,ホールド性能が良く,ホールド性がよかった,ホールドしやすい,ホールドし易い,ホールドは良好,ホールド良好,ホールド感良好,ホールド感も良好,ホールド抜群,ホールド感は抜群,ホールド感はバッチリ,ホールド感もばっちり,ホールド性の高い,ホールド感の高い,ホールディング性は高い,ホールドが楽,,
ホールドが悪い,ホールドが悪い ,ホールド性が悪い,ホールド性の悪さ,ホールド感はよくない,ホールド感は良くない,ホールドし難い,ホールディングがよろしくない,,,,,,,,,,,,,,,,,
ホールド感がない,ホールド感がない,,,,,,,,,,,,,,,,,,,,,,,
グリップが良い,グリップが良い,グリップ感はいい,グリップ感もいい,グリップが良く,グリップ感が良く,グリップの良さ,グリップ性が良好,グリップしやすい,グリップもしやすい,グリップがしやすく,グリップしやすさ,グリップのしやすさ,,,,,,,,,,,,
グリップが深い,グリップが深い,グリップが深く,,,,,,,,,,,,,,,,,,,,,,
グリップ感は悪い,グリップ感は悪い,グリップ性が悪い,グリップも悪い,グリップがしっくりこない,,,,,,,,,,,,,,,,,,,,
グリップが大きすぎ,グリップが大きすぎ,,,,,,,,,,,,,,,,,,,,,,,
グリップがない,グリップがない,グリップが必要,,,,,,,,,,,,,,,,,,,,,,
ノイズが少ない,ノイズが少ない,ノイズが少なく,ノイズも少なく,ノイズ少なく,ノイズの少なさ,ノイズの少ない,ノイズが減少,ノイズレス,ノイズ感がありません,,,,,,,,,,,,,,,
ノイズ感はあり,ノイズ感はあり,ノイズは多く,ノイズが多く,ノイズも多め,ノイズは多め,ノイズは出る,ノイズが出ます,ノイズが増え,ノイズが目立つ,ノイズが発生,ノイズは入ります,,,,,,,,,,,,,
